Date,Time
2019-02-02,15:40:26
2019-02-05,18:50:10
2019-02-05,18:50:10
2019-02-05,18:50:10
2019-02-05,18:50:10
2019-02-05,18:50:10
2019-02-05,18:50:11
2019-02-05,18:50:10
2019-02-05,18:50:10
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:10
2019-02-05,18:50:10
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:10
2019-02-05,18:50:10
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:10
2019-02-05,18:50:10
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:10
2019-02-05,18:50:10
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:10
2019-02-05,18:50:10
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:10
2019-02-05,18:50:10
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:10
2019-02-05,18:50:10
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:12
2019-02-05,18:50:10
2019-02-05,18:50:10
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:11
2019-02-05,18:50:12
2019-02-05,18:50:12
2019-02-05,18:50:10
